note_id,xsec_token,type,title,content,like_count,collect_count,share_count,comment_count,publish_time,category
6804602f000000000b01440a,ABaTofva7FBByOYrBjXLrKtzcZdwEzxS2SPKKJOPtnFOs=,video,今日谷雨 Grain Rain,春末温润，雨生百谷。今天，一起来看“仙交”二十四节气双语系列视频之谷雨 Grain Rain。 #西安交通大学[话题]#,43,2,2,2,2025-04-20 10:47:11,学生生活类
67fa03e20000000009017aeb,ABSKkdSZIM6umKEfzVanUyA381tuzpZls_jW0qgoJ5B_o=,video,交大樱花雨🌸🌸🌸,樱花如织，绚烂成诗 这是属于交大的限定浪漫 快来评论区分享你拍下的樱花雨吧 视频来源：@伊苏林迪竹节虫 #西安交通大学樱花节[话题]# #西安交通大学[话题]#,8830,945,295,145,2025-04-12 14:10:42,美景照片类
67f50856000000000900e205,AB1GXhe7gMbITMz2yTGiG5_PaoM7tdtWf2ncZ_RZlLxUs=,normal,西安交大建校130周年暨迁校70周年校庆公告,西安交通大学建校130周年暨迁校70周年校庆公告（第一号） #西安交通大学[话题]#,510,75,182,313,2025-04-08 19:28:22,学生生活类
